"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"FAU","FIRST AU LIMITED","Materials","01/01/1970",4143987
"FBM","FUTURE BATTERY MINERALS LIMITED","Materials","01/09/2011",12038507
"FBR","FBR LTD","Capital Goods","08/02/2001",28178159
"FBU","FLETCHER BUILDING LIMITED","Capital Goods","26/03/2001",3084955458
"FCG","FREEDOM CARE GROUP HOLDINGS LIMITED","Health Care Equipment & Services","30/11/2023","SUSPENDED"
"FCL","FINEOS CORPORATION HOLDINGS PLC","Software & Services","16/08/2019",634686872
"FCT","FIRSTWAVE CLOUD TECHNOLOGY LIMITED","Software & Services","11/05/2011",20562224
"FDR","FINDER ENERGY HOLDINGS LIMITED","Energy","08/04/2022",11940109
"FDV","FRONTIER DIGITAL VENTURES LIMITED","Media & Entertainment","26/08/2016",104089064
"FEG","FAR EAST GOLD LTD","Materials","28/03/2022",44043294
"FEX","FENIX RESOURCES LTD","Materials","04/08/2008",200109024
"FFF","FORBIDDEN FOODS LIMITED","Food, Beverage & Tobacco","31/08/2020",4984714
"FFG","FATFISH GROUP LIMITED","Financial Services","23/11/1995","SUSPENDED"
"FFI","FFI HOLDINGS LIMITED","Food, Beverage & Tobacco","15/01/1987",44117505
"FFM","FIREFLY METALS LTD","Materials","21/09/2005",415030188
"FG1","FLYNN GOLD LIMITED","Materials","17/06/2021",7066868
"FGG","FUTURE GENERATION GLOBAL LIMITED","Not Applic","10/09/2015",550596209
"FGH","FORESTA GROUP HOLDINGS LIMITED","Materials","05/01/1999",23876158
"FGR","FIRST GRAPHENE LIMITED","Materials","08/08/1994",28468508
"FGX","FUTURE GENERATION AUSTRALIA LIMITED","Not Applic","06/03/1997",482757678
"FHE","FRONTIER ENERGY LIMITED","Materials","18/12/2009",74684793
"FHS","FREEHILL MINING LIMITED.","Materials","16/01/2017",12314111
"FID","FIDUCIAN GROUP LIMITED","Financial Services","09/02/2015",265168033
"FIN","FIN RESOURCES LIMITED","Materials","02/11/1989",3246344
"FL1","FIRST LITHIUM LIMITED","Materials","21/02/2000",8693888
"FLC","FLUENCE CORPORATION LIMITED","Utilities","18/12/2007",44860106
"FLG","FLAGSHIP MINERALS LIMITED","Materials","08/10/2020","SUSPENDED"
"FLN","FREELANCER LIMITED","Commercial & Professional Services","15/11/2013",76655530
"FLT","FLIGHT CENTRE TRAVEL GROUP LIMITED","Consumer Services","01/12/1995",2876146360
"FLX","FELIX GROUP HOLDINGS LTD","Software & Services","12/01/2021",40899943
"FME","FUTURE METALS NL","Energy","16/08/2007",6900486
"FMG","FORTESCUE LTD","Materials","19/03/1987",45630260085
"FML","FOCUS MINERALS LTD","Materials","13/09/2000",63042902
"FMR","FMR RESOURCES LIMITED","Media & Entertainment","30/11/2010",3629375
"FND","FINDI LIMITED","Software & Services","08/08/2001",242204884
"FNR","FAR NORTHERN RESOURCES LIMITED","Materials","12/04/2024",7860725
"FNX","FINEXIA FINANCIAL GROUP LIMITED","Financial Services","21/12/2006","SUSPENDED"
"FOS","FOS CAPITAL LTD","Capital Goods","07/06/2021",13451535
"FPC","FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","Not Applic","22/03/2017",26128150
"FPH","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","Health Care Equipment & Services","21/11/2001",18191543974
"FPP","FAT PROPHETS GLOBAL PROPERTY FUND","Not Applic","10/10/2017","SUSPENDED"
"FPR","FLEETPARTNERS GROUP LIMITED","Financial Services","22/04/2015",575125286
"FRB","FIREBIRD METALS LIMITED","Materials","18/03/2021",10677105
"FRE","FIREBRICK PHARMA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/01/2022",18752134
"FRI","FINBAR GROUP LIMITED","Real Estate Management & Development","05/08/1994",190486199
"FRM","FARM PRIDE FOODS LIMITED","Food, Beverage & Tobacco","19/12/1997",45004295
"FRS","FORRESTANIA RESOURCES LIMITED","Materials","30/09/2021",8398543
"FRW","FREIGHTWAYS GROUP LIMITED","Transportation","14/09/2023",1714589924
"FRX","FLEXIROAM LIMITED","Telecommunication Services","16/06/2015",6069594
"FSA","FSA GROUP LIMITED","Financial Services","11/01/2001",96469742
"FSG","FIELD SOLUTIONS HOLDINGS LIMITED","Telecommunication Services","26/04/2005","SUSPENDED"
"FSI","FLAGSHIP INVESTMENTS LIMITED","Not Applic","20/12/2000",48482368
"FTC","FINTECH CHAIN LIMITED","Financial Services","27/11/2012",2603078
"FTL","FIRETAIL RESOURCES LIMITED","Materials","13/04/2022",19001399
"FUL","FULCRUM LITHIUM LTD","Materials","22/11/2024",13110001
"FWD","FLEETWOOD LIMITED","Consumer Durables & Apparel","15/04/1987",218115081
"FXG","FELIX GOLD LIMITED","Materials","31/01/2022",50980490
"FZR","FITZROY RIVER CORPORATION LTD","Energy","04/03/1998",15113595
"G11","G11 RESOURCES LIMITED","Materials","05/08/2010",11599465
"G50","G50 CORP LIMITED","Materials","06/08/2021",16862754
"G6M","GROUP 6 METALS LIMITED","Materials","21/09/1967","SUSPENDED"
"G88","GOLDEN MILE RESOURCES LTD","Materials","19/06/2017",4353983
"GAL","GALILEO MINING LTD","Materials","29/05/2018",25691241
"GAP","GALE PACIFIC LIMITED","Consumer Durables & Apparel","14/12/2000",31310141
"GAS","STATE GAS LIMITED","Energy","10/10/2017",9815022
"GBE","GLOBE METALS & MINING LIMITED","Materials","09/12/2005",17366325
"GBR","GREAT BOULDER RESOURCES LIMITED","Materials","18/11/2016",58545287
"GBZ","GBM RESOURCES LIMITED","Materials","24/10/2007",8197490
"GC1","GLENNON SMALL COMPANIES LIMITED","Not Applic","21/08/2015",19299610
"GCI","GRYPHON CAPITAL INCOME TRUST","Not Applic","25/05/2018",1038144696
"GCM","GREEN CRITICAL MINERALS LIMITED","Materials","15/11/2007",15693426
"GCR","GOLDEN CROSS RESOURCES LTD","Materials","27/03/1996","SUSPENDED"
"GDC","GLOBAL DATA CENTRE GROUP","Not Applic","31/10/2019","SUSPENDED"
"GDF","GARDA PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","02/07/2015",239566096
"GDG","GENERATION DEVELOPMENT GROUP LIMITED","Insurance","11/12/2007",1701834952
"GDI","GDI PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","17/12/2013",335903587
"GDM","GREAT DIVIDE MINING LTD","Materials","25/08/2023",19412515
"GED","GOLDEN DEEPS LIMITED.","Materials","04/12/1986",3365388
"GEM","G8 EDUCATION LIMITED","Consumer Services","05/12/2007",1011882668
"GEN","GENMIN LIMITED","Materials","10/03/2021",31942300
"GES","GENESIS RESOURCES LIMITED","Materials","27/10/2009",4697048
"GFL","GLOBAL MASTERS FUND LIMITED","Not Applic","16/05/2006",40493803
"GG8","GORILLA GOLD MINES LTD","Materials","28/07/1971",250809332
"GGE","GRAND GULF ENERGY LIMITED","Energy","20/03/1998",3675581
"GGX","GAS2GRID LIMITED","Energy","13/05/2005","SUSPENDED"
"GHM","GOLDEN HORSE MINERALS LIMITED","Materials","16/12/2024",37654961
"GHY","GOLD HYDROGEN LIMITED","Energy","13/01/2023",94246600
"GIB","GIBB RIVER DIAMONDS LIMITED","Materials","01/07/2008",7293321
"GL1","GLOBAL LITHIUM RESOURCES LIMITED","Materials","06/05/2021",43185800
"GLA","GLADIATOR RESOURCES LIMITED","Materials","27/06/2006",5308078
"GLB","GLOBE INTERNATIONAL LIMITED","Consumer Durables & Apparel","24/05/2001",133928132
"GLE","GLG CORP LTD","Consumer Durables & Apparel","14/12/2005",12597000
"GLH","GLOBAL HEALTH LIMITED","Health Care Equipment & Services","04/04/2000",6443199
"GLL","GALILEE ENERGY LIMITED","Energy","15/02/1996",5390876
"GLN","GALAN LITHIUM LIMITED","Materials","08/06/2011",113401256
"GMD","GENESIS MINERALS LIMITED","Materials","02/08/2007",4078190755
"GMG","GOODMAN GROUP","Equity Real Estate Investment Trusts (REITs)","02/02/2005",53784890820
"GML","GATEWAY MINING LIMITED","Materials","02/08/1971",10629328
"GMN","GOLD MOUNTAIN LIMITED","Materials","08/06/2011",6868835
"GNC","GRAINCORP LIMITED","Consumer Staples Distribution & Retail","30/03/1998",1461716855
"GNE","GENESIS ENERGY LIMITED","Utilities","17/04/2014",2138648532
"GNG","GR ENGINEERING SERVICES LIMITED","Materials","19/04/2011",460222048
"GNM","GREAT NORTHERN MINERALS LIMITED","Materials","05/03/2008",2010178
"GNP","GENUSPLUS GROUP LTD","Capital Goods","14/12/2020",459474007
"GO2","THE GO2 PEOPLE LTD","Commercial & Professional Services","31/10/2017","SUSPENDED"
"GOR","GOLD ROAD RESOURCES LIMITED","Materials","04/07/2006",3335245114
"GOW","GOWING BROS LIMITED","Financial Services","31/07/1962",114735288
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","Equity Real Estate Investment Trusts (REITs)","04/07/2007",1689186916
"GPR","GEOPACIFIC RESOURCES LTD","Materials","09/05/2006",63649307
"GPT","GPT GROUP","Equity Real Estate Investment Trusts (REITs)","01/04/1971",8428540692
"GQG","GQG PARTNERS INC.","Financial Services","26/10/2021",5807129464
"GR8","GREAT DIRT RESOURCES LTD","Materials","10/11/2023",4865251
"GRE","GREENTECH METALS LIMITED","Materials","04/01/2022",7289261
"GRL","GODOLPHIN RESOURCES LIMITED","Materials","18/12/2019",4039860
"GRR","GRANGE RESOURCES LIMITED.","Materials","27/03/1986",208320966
"GRV","GREENVALE ENERGY LTD","Energy","28/07/1971",25694294
"GRX","GREENX METALS LIMITED","Materials","06/09/1993",215510424
"GSM","GOLDEN STATE MINING LIMITED","Materials","08/11/2018",2234965
"GSN","GREAT SOUTHERN MINING LIMITED","Materials","14/04/2011",19936086
"GSS","GENETIC SIGNATURES LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","31/03/2015",95398308
"GT1","GREEN TECHNOLOGY METALS LIMITED","Materials","10/11/2021",14772580
"GT3","GREEN360 TECHNOLOGIES LIMITED","Materials","17/05/2011",32304493
"GTE","GREAT WESTERN EXPLORATION LIMITED.","Materials","05/06/2007",10787401
"GTG","GENETIC TECHNOLOGIES LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","30/07/1987","SUSPENDED"
"GTH","GATHID LTD","Software & Services","18/09/2017","SUSPENDED"
"GTI","GRATIFII LIMITED","Software & Services","17/07/2008",27103152
"GTK","GENTRACK GROUP LIMITED","Software & Services","25/06/2014",1014695016
"GTN","GTN LIMITED","Media & Entertainment","01/06/2016",110509402
"GTR","GTI ENERGY LTD","Materials","10/08/2007",8996849
"GUE","GLOBAL URANIUM AND ENRICHMENT LTD","Materials","28/09/2017",15620133
"GUL","GULLEWA LIMITED","Materials","19/06/1980",11555175
"GUM","GUMTREE AUSTRALIA MARKETS LIMITED","Media & Entertainment","15/09/2016",28887532
"GVF","STAUDE CAPITAL GLOBAL VALUE FUND LIMITED","Not Applic","21/07/2014",227347384
"GW1","GREENWING RESOURCES LTD","Materials","20/10/2005",10107362
"GWA","GWA GROUP LIMITED.","Capital Goods","20/05/1993",583451249
"GWR","GWR GROUP LIMITED","Materials","24/12/2004",27303416
"GYG","GUZMAN Y GOMEZ LIMITED","Consumer Services","20/06/2024",3192972125
"H2G","GREENHY2 LIMITED","Commercial & Professional Services","04/12/1980",5981842
"HAL","HALO TECHNOLOGIES HOLDINGS LTD","Financial Services","26/04/2022",3473183
"HAR","HARANGA RESOURCES LIMITED.","Materials","27/01/2022",6161358
"HAS","HASTINGS TECHNOLOGY METALS LTD","Materials","20/02/2008",54771179
"HAV","HAVILAH RESOURCES LIMITED","Materials","21/03/2002",57673570
"HAW","HAWTHORN RESOURCES LIMITED","Materials","03/07/1986",14070656
"HCD","HYDROCARBON DYNAMICS LIMITED","Energy","21/04/2006",2156219
"HCF","H&G HIGH CONVICTION LIMITED","Not Applic","25/10/2022",17554488
"HCH","HOT CHILI LIMITED","Materials","03/05/2010",68976248
"HCL","HIGHCOM LIMITED","Capital Goods","15/09/2005",17969468
"HCT","HOLISTA COLLTECH LIMITED","Household & Personal Products","26/02/2004",10859135
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT","Equity Real Estate Investment Trusts (REITs)","06/09/2021",496487628
"HDN","HOMECO DAILY NEEDS REIT","Equity Real Estate Investment Trusts (REITs)","23/11/2020",2491693294
"HE8","HELIOS ENERGY LTD","Energy","20/10/2010",30215972
"HFR","HIGHFIELD RESOURCES LIMITED","Materials","07/02/2012",71111556
"HFY","HUBIFY LIMITED","Telecommunication Services","12/01/2017",3577954
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","Banks","01/11/2018",648668890
"HGL","HUDSON INVESTMENT GROUP LIMITED","Real Estate Management & Development","09/06/1994","SUSPENDED"
"HGO","HILLGROVE RESOURCES LIMITED","Materials","22/07/1994",81174117
"HHR","HARTSHEAD RESOURCES NL","Energy","14/02/2012",16852093
"HIO","HAWSONS IRON LTD","Materials","14/11/2007",13214518
"HIQ","HITIQ LIMITED","Health Care Equipment & Services","16/06/2021",11363436
"HIT","HITECH GROUP AUSTRALIA LIMITED","Commercial & Professional Services","17/04/2000",68949000
"HLI","HELIA GROUP LIMITED","Financial Services","20/05/2014",1117147131
"HLO","HELLOWORLD TRAVEL LIMITED","Consumer Services","13/09/2000",240155995
"HLS","HEALIUS LIMITED","Health Care Equipment & Services","03/07/1998",973018010
"HLX","HELIX RESOURCES LIMITED","Materials","22/05/1986",8410484
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","Not Applic","14/11/2018",593063813
"HMC","HMC CAPITAL LIMITED","Equity Real Estate Investment Trusts (REITs)","14/10/2019",1972303194
"HMD","HERAMED LIMITED","Health Care Equipment & Services","12/12/2018",13134041
"HMG","HAMELIN GOLD LIMITED","Materials","05/11/2021",11067000
"HMI","HIREMII LIMITED","Commercial & Professional Services","11/05/2021",7650001
"HMX","HAMMER METALS LIMITED","Materials","09/02/2003",21306209
"HMY","HARMONEY CORP LIMITED","Financial Services","19/11/2020",44864225
"HNG","HANCOCK & GORE LTD","Capital Goods","24/08/1971",115318487
"HOR","HORSESHOE METALS LIMITED","Materials","29/07/2010",10720107
"HPC","THE HYDRATION PHARMACEUTICALS COMPANY LIMITED","Household & Personal Products","14/12/2021",3699131
"HPG","HIPAGES GROUP HOLDINGS LTD","Media & Entertainment","12/11/2020",127343107
"HPP","HEALTH AND PLANT PROTEIN GROUP LIMITED","Food, Beverage & Tobacco","14/12/1989","SUSPENDED"
"HPR","HIGH PEAK ROYALTIES LIMITED","Energy","30/03/2007",15604479
"HRE","HEAVY RARE EARTHS LIMITED","Materials","24/08/2022",5200847
"HRN","HORIZON GOLD LIMITED","Materials","21/12/2016",63729566
"HRZ","HORIZON MINERALS LIMITED","Materials","06/02/1992",117714279
"HSN","HANSEN TECHNOLOGIES LIMITED","Software & Services","01/06/2000",1019160585
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","Transportation","24/06/1999",3947582
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","Telecommunication Services","17/08/1999",325740206
"HTG","HARVEST TECHNOLOGY GROUP LTD","Technology Hardware & Equipment","12/05/2016",11538808
"HTM","HIGH-TECH METALS LTD","Materials","23/01/2023",7553202
"HUB","HUB24 LIMITED","Financial Services","05/07/2007",4811113041
"HUM","HUMM GROUP LIMITED","Financial Services","12/12/2006",248339231
"HVN","HARVEY NORMAN HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","03/09/1987",5943451740
"HVY","HEAVY MINERALS LIMITED","Materials","14/09/2021",16216462
"HWK","HAWK RESOURCES LIMITED.","Materials","09/06/2017",5418589
"HXL","HEXIMA LIMITED.","Pharmaceuticals, Biotechnology & Life Sciences","01/12/2020","SUSPENDED"
"HYD","HYDRIX LIMITED","Technology Hardware & Equipment","11/05/2001",4637070
"HYT","HYTERRA LTD","Energy","14/12/2005",47268808
"HZN","HORIZON OIL LIMITED","Energy","30/06/1981",325060393
"HZR","HAZER GROUP LIMITED","Materials","02/12/2015",69158400
"I88","INFINI RESOURCES LIMITED","Materials","15/01/2024",9194284
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","Insurance","08/08/2000",17337530371
"IAM","INCOME ASSET MANAGEMENT GROUP LIMITED.","Financial Services","14/01/1987",21410029
"IBC","IRONBARK CAPITAL LIMITED","Not Applic","02/04/1987",44739436
"IBX","IMAGION BIOSYSTEMS LIMITED","Health Care Equipment & Services","22/06/2017",2617438
"ICE","ICETANA LIMITED","Software & Services","23/12/2019",7010282
"ICG","INCA MINERALS LIMITED","Materials","19/06/2008",5133613
"ICI","ICANDY INTERACTIVE LIMITED","Media & Entertainment","04/02/2016","SUSPENDED"
"ICL","ICENI GOLD LIMITED","Materials","14/04/2021",21551984
"ICN","ICON ENERGY LIMITED","Energy","22/09/1997","SUSPENDED"
"ICR","INTELICARE HOLDINGS LIMITED","Health Care Equipment & Services","25/05/2020",3415235
"ICU","INVESTOR CENTRE LIMITED","Financial Services","31/07/2006",609023
"ID8","IDENTITII LIMITED","Software & Services","17/10/2018",7002122
"IDA","INDIANA RESOURCES LIMITED","Materials","17/07/1986",49490399
"IDT","IDT AUSTRALIA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/02/1991",38671008
"IDX","INTEGRAL DIAGNOSTICS LIMITED","Health Care Equipment & Services","21/10/2015",808172093
"IEL","IDP EDUCATION LIMITED","Consumer Services","26/11/2015",2471625554
"IEQ","INTERNATIONAL EQUITIES CORPORATION LIMITED.","Real Estate Management & Development","11/03/1993",5128943
"IFG","INFOCUS GROUP HOLDINGS LIMITED","Software & Services","10/08/2004",1754886
"IFL","INSIGNIA FINANCIAL LTD","Financial Services","05/12/2003",2521930298
"IFM","INFOMEDIA LTD","Software & Services","16/08/2000",454286105
"IFT","INFRATIL LIMITED.","Capital Goods","30/08/2010",8538519684
"IG6","INTERNATIONAL GRAPHITE LIMITED","Capital Goods","07/04/2022",8903683
"IGL","IVE GROUP LIMITED","Media & Entertainment","16/12/2015",346950981
"IGN","IGNITE LIMITED","Commercial & Professional Services","16/01/1997",16253537
"IGO","IGO LIMITED","Materials","17/01/2002",2498983783
"IIQ","INOVIQ LTD","Health Care Equipment & Services","18/04/1991",42978629
"IKE","IKEGPS GROUP LIMITED","Technology Hardware & Equipment","21/11/2016",115159825
"ILA","ISLAND PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","13/04/2021",33641552
"ILT","ILTANI RESOURCES LIMITED.","Materials","30/06/2023",10428948
"ILU","ILUKA RESOURCES LIMITED","Materials","30/06/1962",1499520565
"IMA","IMAGE RESOURCES NL","Materials","04/07/2002",95756556
"IMB","INTELLIGENT MONITORING GROUP LIMITED","Commercial & Professional Services","03/03/1994",170442368
"IMC","IMMURON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","30/04/1999",14712193
"IMD","IMDEX LIMITED","Materials","24/09/1987",1300078225
"IME","IMEXHS LIMITED","Health Care Equipment & Services","14/12/2005",16157554
"IMI","INFINITY MINING LIMITED","Materials","22/12/2021",5499205
"IMM","IMMUTEP LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/06/1988",365097394
"IMR","IMRICOR MEDICAL SYSTEMS INC.","Health Care Equipment & Services","30/08/2019",400406365
"IMU","IMUGENE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/11/1993",186634764
"INA","INGENIA COMMUNITIES GROUP","Equity Real Estate Investment Trusts (REITs)","01/07/2004",2200949626
"IND","INDUSTRIAL MINERALS LTD","Materials","13/07/2021",11245150
"INF","INFINITY LITHIUM CORPORATION LIMITED","Materials","15/04/2011",8979250
"ING","INGHAMS GROUP LIMITED","Food, Beverage & Tobacco","07/11/2016",1196808315
"INR","IONEER LTD","Materials","19/12/2007",306237427
"INV","INVESTSMART GROUP LIMITED","Financial Services","28/04/2005",14263048
"IOD","IODM LIMITED","Software & Services","18/11/2003",104815911
"ION","IONDRIVE LIMITED","Materials","21/04/2005",16559709
"IPB","IPB PETROLEUM LIMITED","Energy","30/04/2013",3532015
"IPC","IMPERIAL PACIFIC LIMITED","Financial Services","28/07/1971",8933413
"IPD","IMPEDIMED LIMITED","Health Care Equipment & Services","24/10/2007",72926220
"IPG","IPD GROUP LTD","Capital Goods","17/12/2021",363964473
"IPH","IPH LIMITED","Commercial & Professional Services","19/11/2014",1231894535
"IPT","IMPACT MINERALS LIMITED","Materials","09/01/2007",14810653
"IPX","IPERIONX LIMITED","Materials","16/04/2018",698962612
"IR1","IRIS METALS LIMITED","Materials","23/09/2021",27351204
"IRD","IRON ROAD LIMITED","Materials","12/06/2008",37360700
"IRE","IRESS LIMITED","Software & Services","03/11/2000",1400921055
"IRI","INTEGRATED RESEARCH LIMITED","Software & Services","13/12/2000",74488137
"IRX","INHALERX LIMITED","Health Care Equipment & Services","11/01/2017",3842068
"IS3","I SYNERGY GROUP LIMITED","Software & Services","30/03/2017",1332625
"ITM","ITECH MINERALS LTD","Materials","21/10/2021",7175086
"IVG","INVERT GRAPHITE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/04/2025","N/A"
"IVR","INVESTIGATOR RESOURCES LTD","Materials","03/04/2007",33366471
"IVT","INVENTIS LIMITED","Commercial & Professional Services","14/04/1999",1834185
"IVX","INVION LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","15/02/2010",7515404
"IVZ","INVICTUS ENERGY LTD","Energy","19/01/2012",80174089
"IXC","INVEX THERAPEUTICS LTD","Pharmaceuticals, Biotechnology & Life Sciences","05/07/2019",5260769
"IXR","IONIC RARE EARTHS LIMITED","Materials","10/12/1999",31430570
"JAL","JAMESON RESOURCES LIMITED","Materials","18/12/2007",21375666
"JAN","JANISON EDUCATION GROUP LIMITED","Software & Services","12/09/2000",44181003
"JAT","JATCORP LIMITED","Consumer Discretionary Distribution & Retail","30/01/2008",34971998
"JAV","JAVELIN MINERALS LIMITED","Materials","09/10/2012",18138447
"JAY","JAYRIDE GROUP LIMITED","Transportation","29/01/2018",2117588
"JBH","JB HI-FI LIMITED","Consumer Discretionary Distribution & Retail","23/10/2003",9720884251
"JBY","JAMES BAY MINERALS LIMITED","Materials","12/09/2023",41633873
"JCS","JCURVE SOLUTIONS LTD","Software & Services","08/12/2000",8258586
"JDO","JUDO CAPITAL HOLDINGS LIMITED","Banks","01/11/2021",1844176184
"JGH","JADE GAS HOLDINGS LIMITED","Materials","13/02/1995",57352362
"JHX","JAMES HARDIE INDUSTRIES PLC","Materials","15/10/2001",14477566213
"JIN","JUMBO INTERACTIVE LIMITED","Consumer Services","14/06/1972",619412716
"JLG","JOHNS LYNG GROUP LIMITED","Capital Goods","26/10/2017",571890343
"JLL","JINDALEE LITHIUM LIMITED","Materials","11/07/2002",17294085
"JMS","JUPITER MINES LIMITED.","Materials","18/04/2018",284351055
"JNO","JUNO MINERALS LIMITED","Materials","14/05/2021",5021689
"JPR","JUPITER ENERGY LIMITED","Energy","12/11/2003",38396566
"JRV","JERVOIS GLOBAL LIMITED","Materials","01/12/1980","SUSPENDED"
"JYC","JOYCE CORPORATION LTD","Consumer Discretionary Distribution & Retail","17/12/1986",131583247
"KAI","KAIROS MINERALS LIMITED","Materials","30/05/1973",52618244
"KAL","KALGOORLIE GOLD MINING LIMITED","Materials","17/11/2021",24310293
"KAM","K2 ASSET MANAGEMENT HOLDINGS LTD","Financial Services","29/11/2007",13500771
"KAR","KAROON ENERGY LTD","Energy","08/06/2004",984090438
"KAT","KATANA CAPITAL LIMITED","Not Applic","23/12/2005",36900933
"KAU","KAISER REEF LIMITED","Materials","28/02/2020",48864480
"KBC","KEYBRIDGE CAPITAL LIMITED","Financial Services","16/05/2005","SUSPENDED"
"KCC","KINCORA COPPER LIMITED","Materials","30/03/2021",7584744
"KCN","KINGSGATE CONSOLIDATED LIMITED.","Materials","21/04/1988",363429886
"KEY","KEY PETROLEUM LIMITED","Energy","26/04/2007",1183437
"KFM","KINGFISHER MINING LTD","Materials","11/12/2020",2363460
"KGD","KULA GOLD LIMITED","Materials","16/11/2010",5527522
"KGL","KGL RESOURCES LIMITED","Materials","17/03/2005",58847034
"KGN","KOGAN.COM LTD","Consumer Discretionary Distribution & Retail","07/07/2016",412569075
"KKC","KKR CREDIT INCOME FUND","Not Applic","21/11/2019",674095811
"KKO","KINETIKO ENERGY LTD","Energy","21/07/2011",85955106
"KLI","KILLI RESOURCES LIMITED","Materials","10/02/2022",5188278
"KLL","KALIUM LAKES LIMITED","Materials","22/12/2016","SUSPENDED"
"KLR","KAILI RESOURCES LIMITED","Energy","06/03/1997",1179203
"KLS","KELSIAN GROUP LIMITED","Transportation","11/10/2013",637178861
"KM1","KALI METALS LIMITED","Materials","08/01/2024",12654507
"KMD","KMD BRANDS LIMITED","Consumer Discretionary Distribution & Retail","13/11/2009",224175257
"KME","KIP MCGRATH EDUCATION CENTRES LIMITED","Consumer Services","15/08/2003",23047411
"KNB","KOONENBERRY GOLD LIMITED","Materials","28/09/2021",42342936
"KNG","KINGSLAND MINERALS LTD","Materials","14/06/2022",7618896
"KNI","KUNIKO LIMITED","Materials","24/08/2021",10427312
"KNM","KNEOMEDIA LIMITED","Media & Entertainment","24/06/1987","SUSPENDED"
"KNO","KNOSYS LIMITED","Software & Services","09/09/2015",7780993
"KOB","KOBA RESOURCES LIMITED","Materials","04/05/2022",7928081
"KOR","KORAB RESOURCES LIMITED","Materials","31/08/2005","SUSPENDED"
"KOV","KORVEST LTD","Capital Goods","17/09/1970",108183591
"KP2","KORE POTASH PLC","Materials","07/11/2017",174009747
"KPG","KELLY PARTNERS GROUP HOLDINGS LIMITED","Commercial & Professional Services","21/06/2017",417570000
"KPO","KALINA POWER LIMITED","Utilities","02/08/1971",17332463
"KPON","KALINA POWER LIMITED","Utilities","02/08/1971",17332463
"KRM","KINGSROSE MINING LIMITED","Materials","07/12/2007",24112849
"KRR","KING RIVER RESOURCES LIMITED","Materials","21/09/2007",10697545
"KSC","K & S CORPORATION LIMITED","Transportation","25/08/1971",487182379
"KSL","KINA SECURITIES LIMITED","Banks","30/07/2015",308105729
"KSN","KINGSTON RESOURCES LIMITED","Materials","05/03/1987",64934437
"KTA","KRAKATOA RESOURCES LIMITED","Materials","28/12/2012",5581206
"KYP","KINATICO LTD","Software & Services","08/09/2015",69134717
"KZR","KALAMAZOO RESOURCES LIMITED","Materials","16/01/2017",16123301
"L1M","LIGHTNING MINERALS LTD","Materials","22/11/2022",5993043
"LAM","LARAMIDE RESOURCES LTD","Energy","30/04/2013",183610251
"LAT","LATITUDE 66 LIMITED","Materials","13/12/2007",9834582
"LAU","LINDSAY AUSTRALIA LIMITED","Transportation","05/07/1994",217239803
"LAW","LAWFINANCE LIMITED","Financial Services","12/05/2000","SUSPENDED"
"LBL","LASERBOND LIMITED","Capital Goods","17/12/2007",40001678
"LCE","LONDON CITY EQUITIES LIMITED","Financial Services","06/03/1987",27234733
"LCL","LCL RESOURCES LIMITED","Materials","02/10/2007",7168876
"LCY","LEGACY IRON ORE LIMITED","Materials","08/07/2008",87858383
"LDR","LODE RESOURCES LTD","Materials","02/07/2021",16987335
"LDX","LUMOS DIAGNOSTICS HOLDINGS LIMITED","Health Care Equipment & Services","05/07/2021",15718983
"LEG","LEGEND MINING LIMITED","Materials","25/08/1995",20366340
"LEL","LITHIUM ENERGY LIMITED","Materials","19/05/2021","SUSPENDED"
"LEX","LEFROY EXPLORATION LIMITED","Materials","17/02/1988",19625191
"LFG","LIBERTY FINANCIAL GROUP","Financial Services","15/12/2020",938124000
"LFS","LATITUDE GROUP HOLDINGS LIMITED","Financial Services","20/04/2021",1190429756
"LGI","LGI LIMITED","Utilities","04/10/2022",242447945
"LGL","LYNCH GROUP HOLDINGS LIMITED","Food, Beverage & Tobacco","06/04/2021",183099168
